Ident,Lat,Lon,Alt
Y23,45.30696825,-91.63700275,322
MMCM,18.50466650,-88.32684700,12
CYCQ,55.68721100,-121.62665950,610
PAVA,61.53384450,-165.58387250,23
CYHR,50.46897400,-59.63668050,12
YCHS,-19.65170446,144.14211266,859
KSYF,39.76125537,-101.79577837,1040
84D,44.98437600,-101.25104450,746
KCYS,41.15561308,-104.81162457,1876
5CO0,38.81667333,-102.30602028,1275
VTCA,20.18725609,100.40507605,358
VTCD,19.29438513,100.85729599,264
VTCC,18.76684550,98.96264300,316
VTCB,19.49722290,100.28555300,389
VTCT,19.95234000,99.88292800,390
VTCR,19.88513231,99.82679637,400
RCKU,23.46178475,120.39281950,26
KPWK,42.11407600,-87.90135350,197
IL59,41.43197500,-88.24728528,198
KCGX,41.85891200,-87.60796800,181
KMDW,41.78594270,-87.75252380,189
KORD,41.98273570,-87.90630792,204
KRFD,42.19530275,-89.09656475,226
MMCT,20.64129450,-88.44621950,31
EGHR,50.86022049,-0.75872721,30
KCHK,35.09758967,-97.96721183,351
CKX,64.07133833,-141.95227917,500
NH18,43.73340972,-71.15117917,171
SSOR,-29.81805556,-55.71416667,108
KCIC,39.79526300,-121.85887150,73
51FL,29.39468500,-82.86734112,12
EBCV,50.57584000,3.83107650,61
PAJC,56.31144444,-158.37398028,15
KCG,56.31782861,-158.59092556,8
KCL,56.31116305,-158.53592639,15
AK79,56.25504722,-158.77536139,15
EG18,51.13671358,-1.41921076,89
AG3,51.62229900,-124.13849600,1173
WI95,42.57779666,-88.01535973,213
YCDS,-25.25282259,152.33545408,48
MU12,37.14032750,-93.21546195,427
KCDS,34.43201850,-100.28930600,596
SCCC,-46.58334100,-71.68740275,326
SANO,-29.22393050,-67.43877750,945
FWCL,-15.67724650,34.97045200,779
69KS,38.66973305,-94.74245834,320
92A,35.22646222,-84.58493278,235
YCLW,-21.49983476,130.96175265,492
YCGO,-17.13785444,144.52860599,338
KCHT,39.78202425,-93.49621175,239
CYCW,49.15277778,-121.93889473,10
2S7,42.58319450,-121.87611100,1285
MMCH,17.57376650,-99.51433900,1280
N49,40.70500000,-76.23638889,283
SERB,-1.65343350,-78.65614150,2789
AYCH,-6.02446800,144.97072675,1494
5VA5,38.40345777,-77.31581445,8
FQCH,-19.15126650,33.42895700,697
SLCH,-16.99001800,-65.14153200,305
VCCT,8.53851400,81.18185450,2
KNID,35.68551583,-117.69159033,696
AZ45,32.72923472,-110.29647528,1463
YCCA,-26.77099311,150.61896463,313
XIAG,50.39709300,116.34735000,668
RCMQ,24.26496000,120.62080450,202
ZMUB,47.84262034,106.76290625,1330
Q32,36.15417055,-109.55066251,1681
E91,36.11088100,-109.57542200,1691
KCNO,33.97495417,-117.63668350,198
WA37,46.90818194,-120.43728806,549
52OR,45.74539222,-122.84621389,12
5FD7,28.61165861,-82.36787056,24
LGHI,38.34317500,26.14057500,5
CCS4,46.14859000,-65.90418100,20
KCIU,46.25140550,-84.47271725,244
3WI9,44.99996111,-91.38348945,287
88OH,41.60004861,-83.31659417,182
KEAU,44.86538750,-91.48505675,278
UA66,41.51680300,69.57539550,700
L77,33.66513900,-115.71042100,522
XCHI,52.94794659,-3.04639883,137
CZN,62.07046027,-142.04768056,1011
KHIB,47.38726350,-92.83978125,412
LUKK,46.92779300,28.93092350,122
CZO,62.56347305,-144.66883612,564
FB07,-19.46415000,23.37415000,954
CXC,61.58285916,-144.42709695,169
RJCJ,42.79586450,141.66644875,27
26ND,47.70973916,-103.64353112,664
SA4B,-34.96250000,-60.03222222,53
LA21,30.25492805,-93.13515195,3
FB08,-18.53415000,23.65860000,965
KNFJ,30.51092583,-86.95486117,31
SA29,-39.28640450,-65.61032500,196
RJTF,35.67155080,139.52793880,41
ZMCD,48.13567250,114.64637800,749
AGGC,-6.71189599,156.39618971,2
UESO,70.62454750,147.89788569,20
LFOU,47.08213450,-0.87706250,135
SA4C,-42.48472222,-71.46055556,574
LKCH,50.47170366,13.47059992,345
VTX6,13.39316900,101.00621800,3
VTX7,13.23599761,100.99486264,40
VA1G,24.50343900,81.22033500,305
D74,38.84844750,-75.61242800,20
SAHC,-37.44469150,-70.22246950,850
KCII,47.82795500,-112.16803625,1203
LKCT,49.68514259,15.67624209,593
2O6,37.11250000,-120.24694600,74
3Q9,38.59879388,-121.56051195,6
NZCH,-43.48664018,172.53368221,37
91WA,46.70818888,-119.80115112,256
8WA6,46.92069305,-119.59003389,351
9CL2,36.87152900,-121.33708450,116
4VA8,37.61375555,-77.29581112,38
Y61,47.32997138,-96.78368889,266
WS49,42.90667222,-88.87760750,242
85MN,44.15857666,-92.20211334,358
CO55,40.59720550,-105.14359150,1573
M56,33.92427722,-90.78704501,47
YCRK,-18.87581804,125.93154320,164
YPXM,-10.45021486,105.69092932,279
62S,43.23652750,-120.66611100,1316
CA97,34.01972611,-119.85290667,76
7OI0,41.33421611,-84.16355695,208
LKCR,49.93553333,15.78006858,298
VVCA,15.40594400,108.70589000,3
PACH,61.58317305,-159.23596696,74
MYBC,25.41710700,-77.88084850,2
RJGG,34.85841400,136.80540850,5
0II0,40.26004249,-85.25330306,291
UK59,49.83823745,36.64117215,138
PTKK,7.46189300,151.84302200,3
UELL,56.90389342,124.89201617,857
VTSE,10.71120000,99.36170550,5
VTSD,10.50541936,99.08499589,30
93FD,30.75463361,-87.17747056,62
CVB,-4.80640700,144.71517900,0
95TX,28.19249400,-100.07228300,198
MD62,39.12497194,-76.00160862,21
6LA5,30.45477500,-92.24057501,14
CKV6,51.01666300,-101.81666600,532
K72,39.77278722,-99.36009778,599
CYYQ,58.74397100,-94.06386375,29
CZUM,53.56262500,-64.10593500,440
SVHH,10.80756950,-69.63837650,750
LIRA,41.79922750,12.59491700,130
SSCT,-23.69146700,-52.64195000,560
WIAM,-7.34660250,108.24609300,350
TS15,29.89294861,-104.26158334,1341
NH28,43.00842250,-70.79949751,30
SNCI,-1.23100000,-47.20061950,53
NFCI,-17.74344428,-179.34191005,4
SKIO,9.26877900,-74.65233450,20
SICK,-17.68277777,-42.53111111,949
PS70,40.60592361,-76.28300528,235
TA50,31.90926950,-106.64110150,1143
87TA,30.18909111,-99.26976806,664
SJFI,-15.63472223,-55.99055556,196
CJW7,58.05180000,-104.48400100,476
LTBL,38.51302300,27.01005350,5
SNXY,-2.70027778,-50.52861111,30
WIHL,-7.64505550,109.03391250,21
8K8,37.83057666,-100.35042223,839
9OK7,36.18479000,-96.55030028,280
SIXW,-7.53166666,-34.86166667,0
MT60,48.81330416,-114.35319556,1184
KISZ,39.24668500,-84.38896950,261
KLUK,39.10361025,-84.41906209,147
KCVG,39.04949613,-84.66829137,273
I67,39.25783525,-84.77594825,178
T87,29.78772138,-99.26281889,444
62C,42.82362750,-88.09453112,241
SNIO,-11.11694430,-38.51694490,152
SA4D,-38.89277778,-67.98888888,270
CO42,39.33471027,-104.54635750,2027
05TX,32.12916666,-97.40416667,185
48WI,45.79384333,-89.73014584,500
89OI,41.03894666,-80.98398001,318
PACR,65.83049388,-144.07581278,186
LS16,32.01126833,-91.75512695,23
97XS,36.28336416,-103.01715306,1375
AZ17,31.50222222,-109.39111112,1426
CHP,65.48547222,-144.61078362,291
WS45,45.34163250,-89.67457417,457
NY65,43.13729500,-74.11624112,280
NV27,37.71392775,-118.08327525,1474
6TX2,29.83495138,-96.51441500,104
41TA,32.23764166,-97.87808751,244
2TS4,32.13972222,-95.97027778,120
56R,29.82244222,-99.26198584,448
AR91,36.22590888,-94.03214445,366
98GA,33.20568000,-83.91240695,166
MI93,44.68779000,-83.74387250,308
4U6,47.41623950,-105.55157300,739
PA72,39.95870750,-76.97081056,140
NA90,47.46666388,-101.22265445,610
90ND,46.66664666,-98.68287751,454
WIIC,-6.75614600,108.53967100,27
SPAC,-4.60638900,-77.94027710,167
SIVJ,-19.45277778,-43.89972221,732
3F2,32.41679800,-99.00034400,491
MYX5,25.78333333,-77.88333055,5
35NY,42.51256138,-78.73530584,426
UT43,37.63608833,-113.24661917,1707
96FD,27.33337638,-80.73616945,18
S33,44.67152650,-121.15596175,743
08F,34.53175888,-96.23305389,187
7V9,38.05277750,-103.23708500,1193
I06,34.56514875,-101.77906400,1068
MMCC,29.33391800,-101.10089050,430
SVCB,8.12159875,-63.53645100,60
MM13,27.59887100,-105.10420800,1300
MM71,25.05377950,-111.61486500,65
MMCE,18.65186950,-91.79948050,3
MM25,19.70852100,-103.49016000,1520
MULB,23.09393900,-82.43813150,30
MMCN,27.39262500,-109.83309750,62
MM48,17.88013900,-92.47566700,6
SVDW,7.49275800,-63.27022950,268
LECQ,38.08397290,-0.71134100,39
NV01,38.03633833,-115.45919612,1573
MT32,46.53881138,-114.03982556,1097
1OR6,45.36651000,-122.55120139,165
EGSQ,51.78503345,1.13010020,11
WA35,48.62232444,-122.94712667,67
LFJC,47.43833300,3.50861100,217
53IL,40.15281083,-88.51672806,216
8GA3,31.77517083,-84.12490723,79
80D,44.05283525,-84.81252425,348
48D,43.83401250,-84.74033575,261
KCNH,43.37079850,-72.36824100,166
KGCM,36.29271650,-95.47961500,223
MYAB,24.28766250,-77.68461250,6
D51,43.06672444,-78.68308584,177
F29,35.48810900,-97.82311725,412
YCLR,-24.25317261,145.22370549,255
4M8,34.64870694,-91.39457112,66
CCZ3,48.27472050,-53.92388900,61
EJ4,50.00371233,-113.62861217,1013
KAXQ,41.22581400,-79.44100850,444
KCAV,42.74248000,-93.75831725,354
8Y5,46.11301944,-94.90668973,399
3TX6,33.13345388,-97.29668445,215
7MO8,39.52916611,-94.45022778,308
6U0,47.06386277,-108.81736917,1052
94I,40.19448222,-86.52305834,268
23IS,40.32587666,-90.82763223,174
8D7,44.89571025,-97.71092775,546
ME94,44.21674388,-69.29115528,16
KSEP,32.21539275,-98.17913250,403
RPLC,15.18598900,120.56032325,148
3CA9,36.36329833,-121.31020639,84
9CA8,33.54447222,-116.97669112,677
KJVY,38.36562275,-85.73824925,144
3TA2,29.73662250,-96.06412501,44
23M,32.08493350,-88.73894150,98
YCKD,-40.51866842,148.12382788,56
03I,39.64370915,-83.01751141,207
PFCL,58.84230472,-158.54523306,3
74FD,30.46408361,-85.17714251,27
H35,35.47068450,-93.42714900,147
KLBR,33.59316400,-95.06355600,134
C88,40.81670083,-87.99170723,198
05IL,41.15669722,-88.01671389,194
MI35,42.07782305,-84.82913445,301
NM15,36.04614472,-103.88746778,1687
CS31,52.00185000,-106.43620000,509
KCWV,32.19505400,-81.86955850,34
MS50,31.57933555,-90.11119667,61
KCYW,39.38714050,-97.15721400,368
KGPH,39.33250850,-94.30964750,237
II76,38.85074777,-86.13678778,161
51OI,40.85505638,-81.59901223,315
4A7,33.38910500,-84.33236900,266
ME19,46.61614194,-69.52227806,351
11A,31.88332350,-85.48522650,133
KCAO,36.44612650,-103.14928175,1513
S93,47.19423937,-120.88342549,593
PACL,64.30120300,-149.12014300,168
2AK2,64.45345861,-147.56349195,201
00UT,37.24750000,-112.82222500,1871
SD11,44.77135333,-96.68811417,549
KFIG,41.04860300,-78.41309750,462
NE33,40.71019800,-96.47742492,402
2W2,39.46704638,-77.01750889,247
CDJ4,46.71325700,-66.82831500,405
Z86,63.02677472,-147.17864028,884
KCLW,27.97668600,-82.75874150,22
21OI,39.12811833,-84.09271139,276
KCPT,32.35375150,-97.43374300,260
AZ44,33.78031305,-112.34405223,466
4MD4,38.34055555,-76.73722223,32
EG20,51.39013085,-1.73334166,190
YCMT,-22.77136381,147.62116899,277
I69,39.07837714,-84.21021066,257
LFLC,45.78671200,3.16996700,332
YCEE,-33.71101800,136.50530200,180
YCVD,-35.16469562,148.21539850,241
TE12,29.30023861,-98.18362028,183
MO76,40.34166250,-95.30997806,326
KCLE,41.41108550,-81.85223300,241
6R3,30.35643600,-95.00802250,46
KRNV,33.76114200,-90.75787250,43
95F,36.28376550,-96.46335150,278
KRZR,35.21150200,-84.79978464,262
MO18,38.94722944,-94.24911362,302
36II,39.84115416,-86.34860501,268
EICD,53.54170758,-10.08338116,20
AZ03,36.73443083,-111.75266389,1285
KCLR,33.13133600,-115.52137900,-55
47MO,39.74028527,-93.99049612,305
1CO4,38.57498555,-107.95895389,1695
ME69,44.06896416,-70.06449695,85
YCFN,-27.92751488,151.84784779,442
YCFH,-27.01518460,138.89249906,30
NY75,44.30450611,-75.03214223,366
7F7,31.81682200,-97.56696300,232
3OR8,44.28317444,-121.26920306,890
GA81,33.61706027,-83.78212306,232
WN30,46.91987555,-118.09217695,488
1I7,39.71200250,-87.40029400,160
I66,39.50325150,-83.86277500,315
KGLY,38.35657350,-93.68417800,251
4M4,35.59776950,-92.45161650,157
KCWI,41.83080475,-90.32930175,216
KCLK,35.53941725,-98.93330475,492
KCSM,35.33881900,-99.19971875,586
0KY7,36.63611111,-88.99861112,110
KCLI,44.61300833,-88.73024150,251
9W9,34.55877194,-79.54032973,40
AU59,-20.16454514,140.68064217,131
EICL,53.24958610,-7.12333412,45
YCCY,-20.66703598,140.50532789,188
AU71,-34.64038028,150.65717768,575
KCOQ,46.70127525,-92.50332525,390
SATC,-25.29999920,-57.73305510,60
7KS2,38.85000361,-95.46747751,274
68KS,38.56723555,-94.78245945,320
AL09,34.53341805,-85.59024195,516
CT66,41.66676249,-73.28289417,287
II07,39.53226750,-86.83223112,268
S37,47.17759833,-122.49290195,82
3WI5,42.81250972,-88.72649389,259
O60,38.77601950,-122.99263900,83
MY54,47.43828583,-94.81221778,440
KCVN,34.42421583,-103.07952333,1285
SIVG,-11.87555556,-55.44444444,390
SDIN,-22.99750000,-43.40138889,1
SJNA,-1.26722223,-48.43000000,5
SILQ,-24.92666667,-53.49833333,650
2E3,36.17729850,-101.69442350,1043
CJS3,58.39055600,-109.51500700,339
LRCL,46.78510950,23.68616650,316
8OI5,39.88173194,-82.41459806,340
YUNY,-24.51173496,139.61744191,94
79A,35.43401277,-81.85121195,329
EG21,51.34140727,-2.52364283,183
CYCY,70.48611400,-68.51652900,27
3NC0,35.69040611,-81.71231917,335
FD13,30.41408527,-85.74576445,29
SSCO,-31.77416667,-52.45138889,10
MM66,18.68456000,-103.67563050,61
EG22,53.30483090,-1.42962903,219
L20,65.31133555,-143.13545167,259
2Q6,38.02631944,-117.88843695,1422
KCLG,36.16051083,-120.36042695,218
SWKO,-4.13407800,-63.13252500,40
YCWG,-16.79846315,145.69102078,13
83J,30.53075055,-87.38747723,34
79GA,31.49128250,-85.01659389,94
MGCB,15.46895700,-90.40674150,1323
YCBA,-31.53919725,145.79444654,221
YCBT,-31.52806939,145.81599685,236
KRYY,34.01319300,-84.59700000,317
IA76,40.72806166,-93.34326806,335
YCDE,-38.32101479,143.05793991,140
SWKE,-11.50833333,-49.84194444,200
EDQC,50.26289750,10.99542715,453
VOCC,9.94613500,76.27464950,2
VOCI,10.15199600,76.40190550,9
P33,32.24443750,-109.89495350,1276
P03,31.37111100,-109.68971900,1257
48A,32.39935450,-83.27592200,102
1KS1,38.45890472,-95.22608389,306
F85,33.72943750,-102.73171800,1142
9CO2,39.69609666,-104.47579639,1737
6OK7,34.59592222,-95.86304167,241
SCHR,-47.24384600,-72.58841500,196
CYCN,49.10555550,-81.01361100,262
YCTI,-16.09616531,123.61163577,111
SC60,33.90405138,-79.68395334,25
YCKY,-32.04318403,126.09010770,88
VYCI,14.14151800,93.36853050,6
TAPT,17.55166100,-61.76833300,4
YCCT,-10.05000300,143.07124026,3
SNCQ,-10.52722222,-39.03305556,460
SNKC,-14.11694430,-44.45055770,615
YPCC,-12.19134000,96.83369300,3
SIML,-3.28555556,-49.20611111,67
7IL8,41.51892000,-88.83757750,204
YCOE,-13.76278785,143.11738397,162
YCTP,-13.95651666,143.18181729,198
FYCO,-23.83330000,18.83335000,1250
SMCI,-3.36666700,-57.33305740,146
FSSC,-7.13456650,56.27823900,3
LFXQ,47.94294050,-2.18585232,152
KCOE,47.77409450,-116.81900150,707
KUKL,38.30248450,-95.72495800,358
KCFV,37.09377150,-95.57132275,230
YCOF,-34.58847463,135.50841362,6
09KS,38.70695333,-95.13830334,296
YCFS,-30.32442550,153.11595900,5
LFBG,45.65859050,-0.31155875,31
4PS7,39.73622083,-75.94355473,127
YCOH,-35.82512862,144.21236715,82
VOCB,11.03003050,77.04338150,404
LPCO,40.15722200,-8.47000000,179
U06,42.04558404,-110.96597608,1911
YOLA,-38.28660327,143.67811545,137
SNCX,-19.48699050,-40.57941550,150
5AK6,61.55723916,-149.28472000,38
PACD,55.20381450,-162.72304100,30
CYOD,54.40472267,-110.28456950,541
EN5,54.47750000,-110.26861500,544
U81,45.29152800,-114.94944400,2143
7PA3,41.70555550,-75.28805600,427
PCXF,67.25217950,-150.20387900,318
YCEM,-37.72871571,145.40844136,92
NE77,40.96111055,-95.91250889,357
9IL7,41.50975611,-90.18206417,177
37OI,40.82505694,-82.79684750,335
GA88,33.63622000,-84.20825278,253
67G,42.87225138,-83.84106750,253
2OK7,35.25839694,-97.66281723,412
9V4,42.92428223,-101.69358512,992
YCLY,-34.80214044,145.84647914,119
NH02,44.88338055,-71.49952862,308
WS28,43.55359305,-89.38984112,244
KDET,42.40886079,-83.00984039,191
ETOR,49.56356950,8.46339300,94
75TA,32.53427800,-101.72513600,860
76TA,35.40171950,-102.80771400,1164
GA95,33.52622388,-84.50215028,308
KCOM,31.84114150,-99.40361000,517
YCOL,-36.60785803,141.70306737,162
KMTO,39.47797733,-88.28226717,220
NK26,42.05061111,-78.98726389,422
L40,31.51598611,-92.69118889,29
SIKC,-10.76416668,-55.46111111,386
MMIA,19.27696800,-103.57753600,752
SNKL,-5.96666720,-44.23389050,120
YCBR,-29.52363876,148.57835731,152
KCGS,38.98058750,-76.92229300,15
KFGU,35.04478592,-85.01632155,262
YCOI,-33.35981541,116.20272196,237
2AL1,30.42408611,-87.77776695,23
84OK,35.93893305,-99.05315334,530
FD89,30.82713138,-87.35831056,67
KTKI,33.17749151,-96.58960768,178
CNY3,44.44777775,-80.16145750,223
9NC5,35.57291416,-80.86590695,244
CYKC,58.23610300,-103.67777300,409
YCII,-22.23925619,150.30198642,9
04OR,44.74985527,-120.20112889,457
77OH,39.36283611,-84.34132862,262
YCSV,-20.59901883,147.85328214,180
SPOL,-11.92871000,-77.06110850,125
AU62,-29.47885916,148.78485636,146
YCLM,-29.44994703,148.72869139,148
51C,44.05997277,-89.56678945,335
VCCC,6.82199450,79.88620700,7
SA4E,-33.93277778,-61.03388889,90
SA4F,-32.26083334,-58.15611111,20
MYCI,22.74556000,-74.18235150,2
KAAO,37.74757492,-97.22111562,433
SA30,-37.90922250,-67.83172200,313
SA4G,-31.28333334,-62.38333333,101
SA5B,-31.24472222,-64.03527777,407
SIED,-15.45138889,-43.40527778,494
4LL8,42.00280555,-88.64591973,256
48M,34.99592611,-89.73064000,113
EGEY,56.05756250,-6.24307900,12
YCLS,-27.48148145,151.38542497,359
8CO7,40.12248499,-105.17248528,1545
T88,32.46842900,-100.92112350,675
KAZC,36.95991875,-113.01377350,1486
KCR,63.56772305,-155.98904362,262
KAKO,40.17563200,-103.22202900,1437
A50,38.87446450,-104.40998800,1873
KCOS,38.80720900,-104.70226417,1886
M46,45.85285000,-106.70927250,1044
O22,38.03045675,-120.41515050,646
F86,32.12250150,-92.05263900,20
4G8,41.31881425,-81.96014350,248
53WA,46.29235777,-118.98306028,163
WN33,46.38041416,-118.98833862,218
1B1,42.29129450,-73.71032050,60
WA76,45.95625000,-119.62013900,195
KDLS,45.61942925,-121.16830400,75
0R0,31.29650825,-89.81360625,81
KCAE,33.93875000,-81.11936750,72
KCUB,33.97047800,-80.99522350,59
KCOU,38.81903975,-92.21957500,271
I96,37.08533972,-85.34718445,249
02G,40.67331650,-80.64142650,354
6S3,45.63053750,-109.23923900,1090
KCBM,33.64546483,-88.44707467,67
1MS8,32.94018850,-88.57921950,79
KCPC,34.27287250,-78.71499000,30
KUBS,33.46532400,-88.38091700,57
KCSG,32.51613475,-84.93988825,121
KBAK,39.26198000,-85.89626250,200
KOLU,41.44859238,-97.34003964,440
KCUS,31.82371138,-107.62696723,1227
D49,48.89864333,-102.79212056,588
04I,39.91127463,-83.18875809,280
E87,31.79176777,-107.63807834,1224
O08,39.17904150,-121.99337250,14
EB3,67.33300000,-126.08329800,259
63S,48.54156944,-117.88442473,572
4TA6,30.02243350,-99.38365850,610
3K8,37.22289750,-99.33200000,636
KMKN,31.91680575,-98.60173625,423
66GA,30.78770444,-83.22098223,64
59CO,39.83331638,-104.31717945,1594
5TE0,28.62803600,-100.15895550,223
CO97,39.72081388,-104.32305556,1657
SIME,-5.57666666,-47.42277778,135
SSOW,-6.84000000,-56.58666667,297
SAZB,-38.72550250,-62.16880100,75
SPHZ,-9.34744300,-77.59839200,2773
SDVI,-14.64555556,-57.50277777,424
SBBG,-31.39030700,-54.11280425,183
SA33,-49.99503350,-68.95307900,24
SIDW,-15.24500000,-54.49027778,600
SJCA,-21.53038050,-47.04648200,650
95CO,39.11943472,-104.46441195,1993
YCBC,-30.33690362,148.46995418,142
1T5,29.92910527,-98.94031195,448
YCMC,-23.33941390,149.87828767,58
AL17,33.23400305,-86.51303667,137
2F7,33.29287350,-95.89641250,157
YCMD,-31.23316055,138.38499090,114
YCWH,-29.95758806,134.15190661,184
SAZP,-35.84459050,-61.85755150,85
SAAC,-31.29694300,-57.99662900,34
SAVC,-45.78534900,-67.46556100,58
SA4I,-45.90416667,-67.55888889,52
WX58,-5.92653300,138.63119800,6
CYQQ,49.71259650,-124.89160300,25
SDQQ,-22.28612500,-50.63887500,585
LL87,42.45557222,-88.90288389,296
LFAD,49.43257500,2.80227900,96
SWCT,-17.36805556,-56.78472222,102
YCSD,-21.44398164,115.94657045,47
YCSE,-22.46855701,115.24887050,57
YCSA,-23.65507604,115.14805756,209
YCSF,-24.84270328,115.28677462,164
YCSB,-26.08576899,115.22038203,200
YCSC,-27.34847552,115.17482924,259
OR87,45.12901555,-120.61532167,816
32WA,46.05124500,-118.84416306,165
44OR,45.22234277,-122.72675945,49
EGHA,50.96729050,-2.15365964,247
KCPM,33.88991475,-118.24380450,30
SIXM,-4.97222222,-56.92083333,150
GUCY,9.57689700,-13.61187900,22
YCNO,-35.32065439,145.10880703,93
SIBW,-7.55822650,-38.49654600,370
SBAA,-8.34834900,-49.30152900,199
SNKD,-19.02027800,-43.43388900,669
SA4J,-27.33333333,-65.61666666,366
SLCP,-16.14694400,-62.02166750,494
SA4K,-32.43277778,-58.30055556,37
FYCB,-23.95000000,14.46665000,0
E89,35.36671550,-104.18803100,1289
2G1,41.66703601,-81.19715138,304
KCON,43.20362300,-71.50201250,105
KJQF,35.38777400,-80.70913291,210
SSCK,-27.18061100,-52.05272250,750
SA4L,-31.30388889,-58.01500000,40
0R4,31.56680550,-91.49986250,16
AT03,-75.10197488,123.35527027,3269
3W5,48.52983815,-121.75824866,81
LFDZ,45.10499900,1.21580300,152
LFAN,48.89166700,-0.50194500,254
YCDO,-33.06450230,147.20983045,198
LFID,43.91721000,0.38147000,138
SJRI,-8.40638889,-45.44138889,556
SJGP,-16.44617750,-54.66421000,319
SIFQ,-29.04444444,-51.13888890,782
3S9,45.24656700,-120.16645150,887
S04,47.53882583,-113.72036834,1123
KWSD,32.33840275,-106.40319525,1199
3F1,33.81119333,-101.39626862,958
2CA2,34.16277944,-116.04805750,549
SJHG,-10.63361111,-51.56722222,238
MYAK,24.15893450,-77.58975850,5
YCJU,-18.68513351,144.74853276,511
OI92,41.39171888,-83.70326862,206
ET2,55.69049800,-111.27420000,588
55MN,45.83523750,-93.33550389,306
WA14,46.66250000,-118.83333300,282
YCWC,-12.65476973,131.71296329,9
KVVS,39.95873375,-79.65707300,386
NK52,42.08507416,-76.92135056,465
YCMA,-24.21904808,142.27171132,168
EICA,53.23049154,-9.46782593,21
12L,35.09721444,-115.22026028,1252
02CL,34.76109194,-119.05899306,1573
S01,48.16812925,-111.97627650,1081
19KY,38.70645611,-84.59994250,287
SNKF,-20.73861111,-43.79805556,1060
VVCS,8.73183200,106.63259050,6
FG3,52.01666550,-110.75000000,762
LRCK,44.36211400,28.48845400,108
MDCZ,18.89999390,-70.71666720,1075
YCSL,-24.65199766,148.46983699,240
SJKT,4.17166667,-60.54361111,176
35AZ,31.84305550,-110.97694450,874
SNCF,-3.29527778,-52.25916667,148
1I8,40.57087277,-85.89165167,256
KDGW,42.79774271,-105.38659818,1503
SN47,38.76667222,-96.10721528,375
YCNW,-20.97347584,147.38656056,290
KHYW,33.82848450,-79.12217750,10
YCBP,-29.03991490,134.72143556,225
VECO,26.33050800,89.46720400,42
0K2,39.84169916,-88.45839028,198
YCOO,-12.90321666,132.53260162,13
YOOK,-30.61729500,130.40437350,122
K50,37.56668444,-97.16698584,410
15J,31.13780550,-83.45308675,72
SD44,43.78332888,-99.25759751,511
KCQM,47.82190550,-92.68942500,404
SD66,43.97332277,-101.95153973,749
FD42,30.21161277,-83.05457667,27
5OK0,36.14453000,-94.78772778,323
YCKN,-15.44344753,145.18264303,8
YCAH,-31.77392900,149.61518523,504
YCLI,-26.33521277,142.58109890,146
P08,32.93376750,-111.42678250,480
YCXA,-25.97668975,153.00377848,10
YCLH,-19.81810864,140.16331038,127
YCOM,-36.30346222,148.97186862,947
YCCR,-13.00872091,131.12994359,53
ME23,43.91563527,-70.02171750,44
YBCM,-27.39140213,152.46689428,96
YCBB,-31.33164301,149.26734952,645
YCNM,-30.98025909,148.37596279,184
YCNN,-31.02896093,123.15731258,350
YCNQ,-37.27692086,140.81181629,59
YCDB,-31.05327856,135.86412413,158
YCWA,-22.96642886,118.81385346,701
YCBS,-30.95158460,146.31374208,176
YCOG,-20.68274618,119.66420981,81
AU36,-37.89201717,146.77221640,98
CA10,41.61709200,-122.31918300,917
XS48,31.27740555,-94.98965667,88
SSWB,-16.01444444,-47.55805557,1049
68I,39.64199083,-86.50416417,262
NH07,43.28036111,-71.45661112,148
TN99,36.17472222,-83.16388889,320
5K8,37.20283472,-94.41244778,296
AZ71,34.21530583,-112.53628389,1049
S32,47.42277350,-98.10587200,434
NY54,42.62924249,-74.89098778,384
YCRB,-31.89443527,132.29636400,7
YCNG,-36.81749848,140.27290390,23
YCTM,-34.62438243,148.03486000,338
SLCC,-16.18305590,-69.08750150,3838
SSKP,-24.30888889,-53.84222222,320
S16,47.12480750,-124.18462112,0
EKRK,55.58529550,12.12917600,45
SWCJ,-11.81694443,-49.75055556,213
M11,31.90293650,-90.36870250,135
98F,34.50008027,-97.99475751,341
SCKP,-20.74377575,-68.68295600,3800
TX95,32.41402972,-97.53224389,308
0U2,43.80185055,-113.83142389,2414
Z93,61.94119000,-145.29408084,351
YCPH,-27.94968252,134.33615275,228
2NE6,40.91958433,-101.28815284,988
YCOY,-23.12864846,113.78078723,1
FA54,26.85451100,-82.25120550,1
CYZS,64.19333350,-83.35944550,64
CB01,46.22635250,-79.28891360,243
KCRO,36.10250100,-119.59472500,60
SA4M,-43.72138889,-71.24555556,740
F36,35.29756750,-98.96761600,484
YCOD,-26.74544440,140.63803107,73
LEBA,37.84315240,-4.84806430,90
MM20,18.87417650,-96.95818750,914
SACE,-31.44706286,-64.27756922,502
SA4N,-31.39944444,-64.29944444,510
FYCV,-21.73330000,18.51665000,1587
CKU,60.54390333,-145.72670417,4
PACV,60.49069350,-145.47730100,12
YCRP,-20.59642715,140.24486603,211
YCFE,-21.71337547,143.38367606,260
SDKE,-13.77722222,-44.46444444,670
WI54,44.99941138,-90.14957862,434
SWKX,-16.38333320,-58.31694410,120
EICK,51.84260523,-8.48905589,153
YCTW,-28.32124863,122.40585262,479
LA94,30.72240944,-90.06535778,32
1FD4,26.44535666,-81.60730306,9
LTBU,41.13825000,27.91894450,175
5IS4,39.76614638,-88.77951556,216
1751,45.62024107,-0.84934033,25
